Clocks;Locations;Transitions;Time(s)
2;9;8;8.1e-05
2;9;9;8.2e-05
2;9;10;0.00011
2;9;11;0.000109
2;9;12;0.00011
2;9;13;0.000112
2;9;14;0.000112
2;9;15;0.000113
2;10;1;7.6e-05
2;10;2;7.6e-05
2;10;3;7.6e-05
2;10;4;0.000105
2;10;5;8.1e-05
2;10;6;8e-05
2;10;7;8.1e-05
2;10;8;8.1e-05
2;10;9;8.2e-05
2;10;10;8.3e-05
2;10;11;0.000111
2;10;12;0.000111
2;10;13;0.000115
2;10;14;0.000112
2;10;15;0.000113
2;11;1;7.5e-05
2;11;2;7.9e-05
2;11;3;7.8e-05
2;11;4;7.8e-05
2;11;5;7.9e-05
2;11;6;8e-05
2;11;7;0.000105
2;11;8;8.1e-05
2;11;9;8.2e-05
2;11;10;8.2e-05
2;11;11;0.000123
2;11;12;0.000111
2;11;13;0.000149
2;11;14;0.000112
2;11;15;0.000127
2;12;1;7.5e-05
2;12;2;7.7e-05
2;12;3;7.7e-05
2;12;4;7.9e-05
2;12;5;8.1e-05
2;12;6;7.9e-05
2;12;7;8.1e-05
2;12;8;8e-05
2;12;9;8.2e-05
2;12;10;8.3e-05
2;12;11;8.4e-05
2;12;12;8.3e-05
2;12;13;0.000111
2;12;14;0.000112
2;12;15;0.000113
2;13;1;7.5e-05
2;13;2;7.5e-05
2;13;3;7.7e-05
2;13;4;7.8e-05
2;13;5;7.9e-05
2;13;6;8.1e-05
2;13;7;8e-05
2;13;8;8.1e-05
2;13;9;8.1e-05
2;13;10;8.2e-05
2;13;11;8.3e-05
2;13;12;8.3e-05
2;13;13;8.5e-05
2;13;14;0.000112
2;13;15;0.000113
2;14;1;7.5e-05
2;14;2;7.6e-05
2;14;3;7.7e-05
2;14;4;8.4e-05
2;14;5;7.9e-05
2;14;6;7.9e-05
2;14;7;8.2e-05
2;14;8;8e-05
2;14;9;8.2e-05
2;14;10;8.2e-05
2;14;11;0.000102
2;14;12;8.9e-05
2;14;13;8.6e-05
2;14;14;8.8e-05
2;14;15;0.000113
2;15;1;7.5e-05
2;15;2;7.6e-05
2;15;3;7.7e-05
2;15;4;7.7e-05
2;15;5;7.9e-05
2;15;6;0.000103
2;15;7;0.000135
2;15;8;8.1e-05
2;15;9;8.2e-05
2;15;10;8.3e-05
2;15;11;8.4e-05
2;15;12;8.4e-05
2;15;13;8.4e-05
2;15;14;8.5e-05
2;15;15;8.7e-05
3;1;1;9.2e-05
3;1;2;0.000124
3;1;3;0.000159
3;1;4;0.000392
3;1;5;0.000263
3;1;6;0.000348
3;1;7;0.000289
3;1;8;0.000321
3;1;9;0.000362
3;1;10;0.000389
3;1;11;0.000415
3;1;12;0.000445
3;1;13;0.000487
3;1;14;0.000803
3;1;15;0.001075
3;2;1;9.2e-05
3;2;2;0.000593
3;2;3;0.00022
3;2;4;0.000124
3;2;5;0.000159
3;2;6;0.000159
3;2;7;0.000192
3;2;8;0.000207
3;2;9;0.000255
3;2;10;0.000271
3;2;11;0.000317
3;2;12;0.000282
3;2;13;0.000374
3;2;14;0.000302
3;2;15;0.000332
3;3;1;9e-05
3;3;2;9e-05
3;3;3;9.2e-05
3;3;4;0.000128
3;3;5;0.000141
3;3;6;0.000126
3;3;7;0.000162
3;3;8;0.000163
3;3;9;0.000163
3;3;10;0.000196
3;3;11;0.000214
3;3;12;0.000199
3;3;13;0.000228
3;3;14;0.000236
3;3;15;0.000504
3;4;1;9e-05
3;4;2;9.3e-05
3;4;3;9.3e-05
3;4;4;9.3e-05
3;4;5;0.000126
3;4;6;0.000126
3;4;7;0.000136
3;4;8;0.000188
3;4;9;0.000232
3;4;10;0.000174
3;4;11;0.000165
3;4;12;0.000255
3;4;13;0.0003
3;4;14;0.000198
3;4;15;0.000201
3;5;1;9e-05
3;5;2;9.1e-05
3;5;3;9.2e-05
3;5;4;9.8e-05
3;5;5;9.5e-05
3;5;6;0.000126
3;5;7;0.000127
3;5;8;0.000138
3;5;9;0.000128
3;5;10;0.000132
3;5;11;0.000182
3;5;12;0.000166
3;5;13;0.000168
3;5;14;0.000168
3;5;15;0.000215
3;6;1;9.1e-05
3;6;2;9.2e-05
3;6;3;9.3e-05
3;6;4;9.3e-05
3;6;5;9.4e-05
3;6;6;9.5e-05
3;6;7;0.000127
3;6;8;0.000129
3;6;9;0.000156
3;6;10;0.000186
3;6;11;0.000129
3;6;12;0.00013
3;6;13;0.000167
3;6;14;0.000171
3;6;15;0.000169
3;7;1;9.1e-05
3;7;2;9.2e-05
3;7;3;0.000137
3;7;4;9.4e-05
3;7;5;9.4e-05
3;7;6;9.4e-05
3;7;7;9.6e-05
3;7;8;0.000129
3;7;9;0.000191
3;7;10;0.000128
3;7;11;0.00013
3;7;12;0.000131
3;7;13;0.000132
3;7;14;0.000131
3;7;15;0.000167
3;8;1;9e-05
3;8;2;9.1e-05
3;8;3;0.000101
3;8;4;9.4e-05
3;8;5;9.4e-05
3;8;6;9.4e-05
3;8;7;0.000103
3;8;8;0.000102
3;8;9;0.000154
3;8;10;0.000131
3;8;11;0.000229
3;8;12;0.000148
3;8;13;0.000131
3;8;14;0.000131
3;8;15;0.000133
3;9;1;0.000131
3;9;2;0.000107
3;9;3;9.3e-05
3;9;4;9.3e-05
3;9;5;9.4e-05
3;9;6;0.000212
3;9;7;9.6e-05
3;9;8;9.8e-05
3;9;9;9.7e-05
3;9;10;0.000129
3;9;11;0.000154
3;9;12;0.000155
3;9;13;0.000337
3;9;14;0.000234
3;9;15;0.000206
3;10;1;9.1e-05
3;10;2;9e-05
3;10;3;9.3e-05
3;10;4;9.3e-05
3;10;5;0.000102
3;10;6;9.5e-05
3;10;7;9.5e-05
3;10;8;9.7e-05
3;10;9;0.000706
3;10;10;9.9e-05
3;10;11;0.00017
3;10;12;0.000133
3;10;13;0.000328
3;10;14;0.000168
3;10;15;0.000283
3;11;1;0.000272
3;11;2;0.000139
3;11;3;0.000754
3;11;4;0.000187
3;11;5;0.000181
3;11;6;0.000181
3;11;7;9.7e-05
3;11;8;0.000103
3;11;9;9.7e-05
3;11;10;0.000105
3;11;11;9.9e-05
3;11;12;0.000131
3;11;13;0.000168
3;11;14;0.00027
3;11;15;0.000134
3;12;1;9e-05
3;12;2;9e-05
3;12;3;9.2e-05
3;12;4;9.3e-05
3;12;5;9.5e-05
3;12;6;0.000108
3;12;7;0.000105
3;12;8;9.5e-05
3;12;9;9.8e-05
3;12;10;9.8e-05
3;12;11;9.8e-05
3;12;12;0.000104
3;12;13;0.000133
3;12;14;0.000132
3;12;15;0.000139
3;13;1;9e-05
3;13;2;0.000109
3;13;3;9.3e-05
3;13;4;9.3e-05
3;13;5;0.000129
3;13;6;0.000108
3;13;7;9.6e-05
3;13;8;9.6e-05
3;13;9;9.7e-05
3;13;10;9.8e-05
3;13;11;0.0001
3;13;12;0.000147
3;13;13;0.0001
3;13;14;0.000133
3;13;15;0.000189
3;14;1;9.1e-05
3;14;2;9.2e-05
3;14;3;9.3e-05
3;14;4;0.000109
3;14;5;0.000187
3;14;6;0.000132
3;14;7;9.5e-05
3;14;8;9.7e-05
3;14;9;9.7e-05
3;14;10;0.000113
3;14;11;9.9e-05
3;14;12;9.9e-05
3;14;13;0.000137
3;14;14;0.00016
3;14;15;0.000158
3;15;1;0.000136
3;15;2;0.000129
3;15;3;9.3e-05
3;15;4;9.5e-05
3;15;5;9.3e-05
3;15;6;0.000112
3;15;7;0.000165
3;15;8;9.7e-05
3;15;9;0.000125
3;15;10;0.000105
3;15;11;9.9e-05
3;15;12;9.9e-05
3;15;13;0.0001
3;15;14;0.0001
3;15;15;0.000101
4;1;1;0.000107
4;1;2;0.000146
4;1;3;0.000189
4;1;4;0.000221
4;1;5;0.000261
4;1;6;0.000304
4;1;7;0.000343
4;1;8;0.00038
4;1;9;0.000422
4;1;10;0.000453
4;1;11;0.000646
4;1;12;0.000603
4;1;13;0.000601
4;1;14;0.000833
4;1;15;0.000715
4;2;1;0.000108
4;2;2;0.000107
4;2;3;0.000285
4;2;4;0.000302
4;2;5;0.000308
4;2;6;0.000349
4;2;7;0.000816
4;2;8;0.000237
4;2;9;0.000267
4;2;10;0.000266
4;2;11;0.000308
4;2;12;0.000311
4;2;13;0.000473
4;2;14;0.000381
4;2;15;0.000584
4;3;1;0.000214
4;3;2;0.00017
4;3;3;0.000141
4;3;4;0.000174
4;3;5;0.000171
4;3;6;0.000451
4;3;7;0.000188
4;3;8;0.000192
4;3;9;0.000189
4;3;10;0.000229
4;3;11;0.000228
4;3;12;0.000229
4;3;13;0.000268
4;3;14;0.000498
4;3;15;0.000962
4;4;1;0.000237
4;4;2;0.000108
4;4;3;0.000107
4;4;4;0.000108
4;4;5;0.000148
4;4;6;0.000146
4;4;7;0.000147
4;4;8;0.00015
4;4;9;0.00019
4;4;10;0.000193
4;4;11;0.000191
4;4;12;0.000193
4;4;13;0.000228
4;4;14;0.00023
4;4;15;0.000229
4;5;1;0.000107
4;5;2;0.000107
4;5;3;0.000108
4;5;4;0.00012
4;5;5;0.000175
4;5;6;0.000265
4;5;7;0.000287
4;5;8;0.000487
4;5;9;0.000197
4;5;10;0.000347
4;5;11;0.000197
4;5;12;0.000192
4;5;13;0.000193
4;5;14;0.000192
4;5;15;0.000195
4;6;1;0.00026
4;6;2;0.00011
4;6;3;0.000107
4;6;4;0.000108
4;6;5;0.000109
4;6;6;0.000239
4;6;7;0.000262
4;6;8;0.00015
4;6;9;0.000311
4;6;10;0.00015
4;6;11;0.000153
4;6;12;0.000315
4;6;13;0.000268
4;6;14;0.000252
4;6;15;0.000197
4;7;1;0.000242
4;7;2;0.000178
4;7;3;0.000135
4;7;4;0.000236
4;7;5;0.000144
4;7;6;0.000112
4;7;7;0.00011
4;7;8;0.00015
4;7;9;0.000203
4;7;10;0.000153
4;7;11;0.000158
4;7;12;0.000612
4;7;13;0.000155
4;7;14;0.000153
4;7;15;0.000195
4;8;1;0.000106
4;8;2;0.000106
4;8;3;0.000108
4;8;4;0.000109
4;8;5;0.00011
4;8;6;0.00011
4;8;7;0.00011
4;8;8;0.000143
4;8;9;0.00057
4;8;10;0.000162
4;8;11;0.000154
4;8;12;0.000152
4;8;13;0.000439
4;8;14;0.000395
4;8;15;0.000165
4;9;1;0.000106
4;9;2;0.000385
4;9;3;0.000224
4;9;4;0.000108
4;9;5;0.000109
4;9;6;0.00011
4;9;7;0.000111
4;9;8;0.000112
4;9;9;0.000112
4;9;10;0.000154
4;9;11;0.000152
4;9;12;0.000154
4;9;13;0.000154
4;9;14;0.000155
4;9;15;0.000156
4;10;1;0.000107
4;10;2;0.000111
4;10;3;0.000286
4;10;4;0.0003
4;10;5;0.000112
4;10;6;0.000163
4;10;7;0.000111
4;10;8;0.000291
4;10;9;0.000116
4;10;10;0.000114
4;10;11;0.000153
4;10;12;0.000154
4;10;13;0.002852
4;10;14;0.000282
4;10;15;0.000155
4;11;1;0.000106
4;11;2;0.000107
4;11;3;0.000109
4;11;4;0.000109
4;11;5;0.000111
4;11;6;0.00011
4;11;7;0.000111
4;11;8;0.000111
4;11;9;0.000112
4;11;10;0.000113
4;11;11;0.000115
4;11;12;0.000154
4;11;13;0.000154
4;11;14;0.000154
4;11;15;0.000154
4;12;1;0.000107
4;12;2;0.000109
4;12;3;0.000109
4;12;4;0.000109
4;12;5;0.00011
4;12;6;0.00011
4;12;7;0.000111
4;12;8;0.000111
4;12;9;0.000113
4;12;10;0.000113
4;12;11;0.000114
4;12;12;0.000115
4;12;13;0.000153
4;12;14;0.000159
4;12;15;0.000155
4;13;1;0.000179
4;13;2;0.000312
4;13;3;0.000111
4;13;4;0.000283
4;13;5;0.000109
4;13;6;0.00011
4;13;7;0.000112
4;13;8;0.00014
4;13;9;0.000112
4;13;10;0.000149
4;13;11;0.000401
4;13;12;0.000532
4;13;13;0.000327
4;13;14;0.000182
4;13;15;0.000156
4;14;1;0.000111
4;14;2;0.000107
4;14;3;0.000109
4;14;4;0.000109
4;14;5;0.000109
4;14;6;0.00011
4;14;7;0.000111
4;14;8;0.000112
4;14;9;0.000113
4;14;10;0.000113
4;14;11;0.000114
4;14;12;0.000116
4;14;13;0.000117
4;14;14;0.000117
4;14;15;0.000157
4;15;1;0.000113
4;15;2;0.000108
4;15;3;0.000121
4;15;4;0.000112
4;15;5;0.000307
4;15;6;0.000293
4;15;7;0.000319
4;15;8;0.000158
4;15;9;0.000113
4;15;10;0.000314
