Clocks;Locations;Transitions;Time(s)
2;10;13;0.000135
2;10;14;0.000142
2;10;15;0.000149
2;11;1;5e-06
2;11;2;5e-06
2;11;3;5e-06
2;11;4;5e-06
2;11;5;6e-06
2;11;6;6e-06
2;11;7;6e-06
2;11;8;6e-06
2;11;9;6e-06
2;11;10;7e-06
2;11;11;0.00013
2;11;12;0.000136
2;11;13;0.000142
2;11;14;0.00015
2;11;15;0.000157
2;12;1;5e-06
2;12;2;5e-06
2;12;3;5e-06
2;12;4;5e-06
2;12;5;6e-06
2;12;6;6e-06
2;12;7;6e-06
2;12;8;6e-06
2;12;9;7e-06
2;12;10;6e-06
2;12;11;7e-06
2;12;12;0.000143
2;12;13;0.00015
2;12;14;0.000156
2;12;15;0.00016
2;13;1;5e-06
2;13;2;5e-06
2;13;3;6e-06
2;13;4;6e-06
2;13;5;6e-06
2;13;6;6e-06
2;13;7;6e-06
2;13;8;6e-06
2;13;9;7e-06
2;13;10;7e-06
2;13;11;7e-06
2;13;12;7e-06
2;13;13;0.000156
2;13;14;0.000162
2;13;15;0.0002
2;14;1;1.2e-05
2;14;2;5e-06
2;14;3;6e-06
2;14;4;6e-06
2;14;5;6e-06
2;14;6;6e-06
2;14;7;6e-06
2;14;8;6e-06
2;14;9;6e-06
2;14;10;6e-06
2;14;11;7e-06
2;14;12;7e-06
2;14;13;7e-06
2;14;14;0.000172
2;14;15;0.000183
2;15;1;5e-06
2;15;2;6e-06
2;15;3;6e-06
2;15;4;6e-06
2;15;5;6e-06
2;15;6;6e-06
2;15;7;6e-06
2;15;8;6e-06
2;15;9;6e-06
2;15;10;7e-06
2;15;11;6e-06
2;15;12;6e-06
2;15;13;7e-06
2;15;14;7e-06
2;15;15;0.000185
3;1;1;1.3e-05
3;1;2;1.9e-05
3;1;3;2.6e-05
3;1;4;3.1e-05
3;1;5;3.9e-05
3;1;6;4.5e-05
3;1;7;5e-05
3;1;8;5.7e-05
3;1;9;6.6e-05
3;1;10;7.2e-05
3;1;11;7.7e-05
3;1;12;8e-05
3;1;13;8.7e-05
3;1;14;9.3e-05
3;1;15;9.7e-05
3;2;1;6e-06
3;2;2;2.5e-05
3;2;3;3.1e-05
3;2;4;3.7e-05
3;2;5;4.5e-05
3;2;6;5e-05
3;2;7;5.7e-05
3;2;8;6.4e-05
3;2;9;7.3e-05
3;2;10;8e-05
3;2;11;8.6e-05
3;2;12;9.1e-05
3;2;13;9.7e-05
3;2;14;0.000103
3;2;15;0.000109
3;3;1;7e-06
3;3;2;7e-06
3;3;3;3.9e-05
3;3;4;4.4e-05
3;3;5;5.3e-05
3;3;6;5.9e-05
3;3;7;6.6e-05
3;3;8;7.2e-05
3;3;9;8e-05
3;3;10;8.7e-05
3;3;11;9.3e-05
