Clocks;Locations;Transitions;Time(s)
3;1;7;0.000632
3;1;8;0.000686
3;1;9;0.00076
3;1;10;0.000846
3;1;11;0.000924
3;1;12;0.000946
3;1;13;0.001026
3;1;14;0.001115
3;1;15;0.00117
3;2;1;0.00018
3;2;2;0.000183
3;2;3;0.000268
3;2;4;0.000257
3;2;5;0.000334
3;2;6;0.000332
3;2;7;0.000405
3;2;8;0.000408
3;2;9;0.000486
3;2;10;0.000477
3;2;11;0.000559
3;2;12;0.000547
3;2;13;0.000608
3;2;14;0.000622
3;2;15;0.000709
3;3;1;0.000185
3;3;2;0.000184
3;3;3;0.000185
3;3;4;0.000271
3;3;5;0.000259
3;3;6;0.000261
3;3;7;0.000336
3;3;8;0.000339
3;3;9;0.000343
3;3;10;0.000414
3;3;11;0.000416
3;3;12;0.000416
3;3;13;0.000483
3;3;14;0.000487
3;3;15;0.000617
3;4;1;0.000183
3;4;2;0.000204
3;4;3;0.000189
3;4;4;0.000189
3;4;5;0.000264
3;4;6;0.000264
3;4;7;0.000265
3;4;8;0.000267
3;4;9;0.000346
3;4;10;0.000363
3;4;11;0.00039
3;4;12;0.000376
3;4;13;0.000468
3;4;14;0.000475
3;4;15;0.000438
3;5;1;0.000279
3;5;2;0.000185
3;5;3;0.00022
3;5;4;0.000231
3;5;5;0.000189
3;5;6;0.000298
3;5;7;0.000267
3;5;8;0.000267
3;5;9;0.000266
3;5;10;0.000288
3;5;11;0.000355
3;5;12;0.000345
3;5;13;0.000389
3;5;14;0.000405
3;5;15;0.000418
3;6;1;0.000186
3;6;2;0.000185
3;6;3;0.000187
3;6;4;0.000188
3;6;5;0.00019
3;6;6;0.000196
3;6;7;0.000272
3;6;8;0.000274
3;6;9;0.000266
3;6;10;0.000268
3;6;11;0.000272
3;6;12;0.000275
3;6;13;0.00034
3;6;14;0.00035
3;6;15;0.000352
3;7;1;0.000184
3;7;2;0.000184
3;7;3;0.000185
3;7;4;0.000186
3;7;5;0.000188
3;7;6;0.000191
3;7;7;0.000215
3;7;8;0.000267
3;7;9;0.000266
3;7;10;0.000277
3;7;11;0.000273
3;7;12;0.000275
3;7;13;0.000275
3;7;14;0.000277
3;7;15;0.000352
3;8;1;0.000185
3;8;2;0.000187
3;8;3;0.000188
3;8;4;0.000189
3;8;5;0.00019
3;8;6;0.000193
3;8;7;0.000198
3;8;8;0.000196
3;8;9;0.000271
3;8;10;0.000269
3;8;11;0.000272
3;8;12;0.000272
3;8;13;0.000274
3;8;14;0.000275
3;8;15;0.000277
3;9;1;0.000183
3;9;2;0.00019
3;9;3;0.000187
3;9;4;0.000187
3;9;5;0.000189
3;9;6;0.00019
3;9;7;0.000192
3;9;8;0.000194
3;9;9;0.000195
3;9;10;0.000267
3;9;11;0.000271
3;9;12;0.00027
3;9;13;0.000273
3;9;14;0.000272
3;9;15;0.000278
3;10;1;0.000181
3;10;2;0.00018
3;10;3;0.000182
3;10;4;0.000183
3;10;5;0.000185
3;10;6;0.000186
3;10;7;0.000188
3;10;8;0.00019
3;10;9;0.000192
3;10;10;0.000197
3;10;11;0.000267
3;10;12;0.000275
3;10;13;0.000275
3;10;14;0.000278
3;10;15;0.000278
3;11;1;0.000183
3;11;2;0.000184
3;11;3;0.000187
3;11;4;0.000188
3;11;5;0.000189
3;11;6;0.000191
3;11;7;0.000192
3;11;8;0.000195
3;11;9;0.000195
3;11;10;0.000197
3;11;11;0.000198
3;11;12;0.000273
3;11;13;0.000292
3;11;14;0.000272
3;11;15;0.000277
3;12;1;0.000182
3;12;2;0.000183
3;12;3;0.000186
3;12;4;0.000187
3;12;5;0.000189
3;12;6;0.000191
3;12;7;0.000192
3;12;8;0.000197
3;12;9;0.000196
3;12;10;0.000197
3;12;11;0.0002
3;12;12;0.000202
3;12;13;0.000275
3;12;14;0.000298
3;12;15;0.000279
3;13;1;0.000182
3;13;2;0.000184
3;13;3;0.000186
3;13;4;0.000188
3;13;5;0.000189
3;13;6;0.00019
3;13;7;0.000191
3;13;8;0.000193
3;13;9;0.000195
3;13;10;0.000198
3;13;11;0.000198
3;13;12;0.0002
3;13;13;0.0002
3;13;14;0.000303
3;13;15;0.000276
3;14;1;0.000183
3;14;2;0.000183
3;14;3;0.000185
3;14;4;0.000187
3;14;5;0.000188
3;14;6;0.00019
3;14;7;0.000192
3;14;8;0.000193
3;14;9;0.000195
3;14;10;0.000197
3;14;11;0.000198
3;14;12;0.000246
3;14;13;0.000203
3;14;14;0.000211
3;14;15;0.000322
3;15;1;0.000186
3;15;2;0.000185
3;15;3;0.000186
3;15;4;0.000187
3;15;5;0.000189
3;15;6;0.000191
3;15;7;0.000194
3;15;8;0.000194
3;15;9;0.000195
3;15;10;0.000197
3;15;11;0.000199
3;15;12;0.000201
3;15;13;0.000202
3;15;14;0.000203
3;15;15;0.00021
4;1;1;0.000217
4;1;2;0.000308
4;1;3;0.000391
4;1;4;0.00047
4;1;5;0.000557
4;1;6;0.000654
4;1;7;0.000738
4;1;8;0.000824
4;1;9;0.000893
4;1;10;0.000972
4;1;11;0.001079
4;1;12;0.001153
4;1;13;0.001225
4;1;14;0.001346
4;1;15;0.001438
4;2;1;0.000218
4;2;2;0.000219
4;2;3;0.000302
4;2;4;0.000301
4;2;5;0.000392
4;2;6;0.0004
4;2;7;0.000486
4;2;8;0.000486
4;2;9;0.000567
4;2;10;0.000565
4;2;11;0.000649
4;2;12;0.000665
4;2;13;0.000735
4;2;14;0.000729
4;2;15;0.000817
4;3;1;0.000214
4;3;2;0.000213
4;3;3;0.000214
4;3;4;0.000308
4;3;5;0.000311
4;3;6;0.00031
4;3;7;0.000401
4;3;8;0.000398
