Clocks,Locations,Transitions,Time(s)
3,13,15,0.00027
3,14,1,0.000177
3,14,2,0.000179
3,14,3,0.000185
3,14,4,0.000186
3,14,5,0.000187
3,14,6,0.000189
3,14,7,0.00019
3,14,8,0.000192
3,14,9,0.000194
3,14,10,0.000195
3,14,11,0.000198
3,14,12,0.000206
3,14,13,0.000199
3,14,14,0.000197
3,14,15,0.00027
3,15,1,0.000179
3,15,2,0.00018
3,15,3,0.000183
3,15,4,0.000184
3,15,5,0.000186
3,15,6,0.000191
3,15,7,0.000192
3,15,8,0.000194
3,15,9,0.000233
3,15,10,0.000197
3,15,11,0.000198
3,15,12,0.000222
3,15,13,0.000231
3,15,14,0.000204
3,15,15,0.000204
4,1,1,0.000216
4,1,2,0.000305
4,1,3,0.000397
4,1,4,0.000478
4,1,5,0.000586
4,1,6,0.000659
4,1,7,0.000732
4,1,8,0.000863
4,1,9,0.000913
4,1,10,0.000989
4,1,11,0.001088
4,1,12,0.001138
4,1,13,0.001236
4,1,14,0.001289
4,1,15,0.001378
4,2,1,0.000211
4,2,2,0.000216
4,2,3,0.000304
4,2,4,0.000305
4,2,5,0.000392
4,2,6,0.000394
4,2,7,0.000469
4,2,8,0.000473
4,2,9,0.000558
4,2,10,0.000573
4,2,11,0.00065
4,2,12,0.000662
4,2,13,0.00072
4,2,14,0.00072
4,2,15,0.000814
4,3,1,0.000212
4,3,2,0.000212
4,3,3,0.000214
4,3,4,0.000299
4,3,5,0.000301
4,3,6,0.000302
4,3,7,0.00039
4,3,8,0.000392
4,3,9,0.000392
4,3,10,0.000476
4,3,11,0.00048
4,3,12,0.000478
4,3,13,0.000569
4,3,14,0.000574
4,3,15,0.000577
4,4,1,0.000211
4,4,2,0.000211
4,4,3,0.000214
4,4,4,0.000216
4,4,5,0.000301
4,4,6,0.000302
4,4,7,0.000306
4,4,8,0.000314
4,4,9,0.000401
4,4,10,0.000407
4,4,11,0.000402
4,4,12,0.000402
4,4,13,0.00048
4,4,14,0.000483
4,4,15,0.000482
4,5,1,0.000211
4,5,2,0.000212
4,5,3,0.000213
4,5,4,0.000215
4,5,5,0.000217
4,5,6,0.0003
4,5,7,0.000302
4,5,8,0.000304
4,5,9,0.000305
4,5,10,0.000307
4,5,11,0.000404
4,5,12,0.000403
4,5,13,0.000403
4,5,14,0.000409
4,5,15,0.000401
4,6,1,0.000211
4,6,2,0.000213
4,6,3,0.000215
4,6,4,0.000216
4,6,5,0.000216
4,6,6,0.000217
4,6,7,0.000304
4,6,8,0.000304
4,6,9,0.000309
4,6,10,0.000307
4,6,11,0.000309
4,6,12,0.000312
4,6,13,0.000401
4,6,14,0.0004
4,6,15,0.000403
4,7,1,0.00021
4,7,2,0.000213
4,7,3,0.000214
4,7,4,0.000214
4,7,5,0.000217
4,7,6,0.000218
4,7,7,0.00022
4,7,8,0.000305
4,7,9,0.000312
4,7,10,0.000316
4,7,11,0.000316
4,7,12,0.000312
4,7,13,0.000312
4,7,14,0.000314
4,7,15,0.000401
4,8,1,0.000211
4,8,2,0.000212
4,8,3,0.000214
4,8,4,0.000215
4,8,5,0.000218
4,8,6,0.000223
4,8,7,0.000223
4,8,8,0.000226
4,8,9,0.000314
4,8,10,0.000315
4,8,11,0.000317
4,8,12,0.000317
4,8,13,0.000319
4,8,14,0.00032
4,8,15,0.000323
4,9,1,0.000216
4,9,2,0.000217
4,9,3,0.000219
4,9,4,0.00022
4,9,5,0.000221
4,9,6,0.000223
4,9,7,0.000225
4,9,8,0.000226
4,9,9,0.000228
4,9,10,0.000316
4,9,11,0.000318
4,9,12,0.000319
4,9,13,0.00032
4,9,14,0.000322
4,9,15,0.000324
4,10,1,0.000215
4,10,2,0.000216
4,10,3,0.000219
4,10,4,0.00022
4,10,5,0.000221
4,10,6,0.000223
4,10,7,0.000226
4,10,8,0.000227
4,10,9,0.000227
4,10,10,0.000229
4,10,11,0.000316
4,10,12,0.00032
4,10,13,0.000319
4,10,14,0.000321
4,10,15,0.000335
4,11,1,0.000473
4,11,2,0.000217
4,11,3,0.000215
4,11,4,0.000214
4,11,5,0.000216
4,11,6,0.000217
4,11,7,0.000219
4,11,8,0.000227
4,11,9,0.000227
4,11,10,0.000225
4,11,11,0.000225
4,11,12,0.000313
4,11,13,0.000312
4,11,14,0.000322
4,11,15,0.000323
4,12,1,0.000214
4,12,2,0.000217
4,12,3,0.000218
4,12,4,0.000219
4,12,5,0.000222
4,12,6,0.000224
4,12,7,0.000224
4,12,8,0.000224
4,12,9,0.000227
4,12,10,0.000229
4,12,11,0.000231
4,12,12,0.000232
4,12,13,0.00032
4,12,14,0.00032
4,12,15,0.000322
4,13,1,0.000215
4,13,2,0.000215
4,13,3,0.000221
4,13,4,0.000221
4,13,5,0.000223
4,13,6,0.000222
4,13,7,0.000223
4,13,8,0.000227
4,13,9,0.000229
4,13,10,0.00023
4,13,11,0.000231
4,13,12,0.000231
4,13,13,0.000233
4,13,14,0.000321
4,13,15,0.000321
4,14,1,0.000215
4,14,2,0.000216
4,14,3,0.000218
4,14,4,0.00022
4,14,5,0.00022
4,14,6,0.000222
4,14,7,0.000224
4,14,8,0.000226
4,14,9,0.000228
4,14,10,0.00023
4,14,11,0.000233
4,14,12,0.000232
4,14,13,0.000234
4,14,14,0.000236
4,14,15,0.000323
4,15,1,0.000214
4,15,2,0.000218
4,15,3,0.000219
4,15,4,0.00022
4,15,5,0.000222
4,15,6,0.000224
4,15,7,0.000225
4,15,8,0.000229
4,15,9,0.000229
4,15,10,0.000231
4,15,11,0.000232
4,15,12,0.000232
4,15,13,0.000235
4,15,14,0.000236
4,15,15,0.000238
5,1,1,0.000248
5,1,2,0.000348
5,1,3,0.00045
5,1,4,0.000542
5,1,5,0.000644
5,1,6,0.000741
5,1,7,0.000822
5,1,8,0.000918
5,1,9,0.001023
5,1,10,0.001109
5,1,11,0.001207
5,1,12,0.001289
5,1,13,0.001427
5,1,14,0.001503
5,1,15,0.001622
5,2,1,0.000249
5,2,2,0.000249
5,2,3,0.000349
5,2,4,0.00035
5,2,5,0.000449
5,2,6,0.000451
5,2,7,0.000545
5,2,8,0.000547
5,2,9,0.000652
5,2,10,0.000654
5,2,11,0.000739
5,2,12,0.000751
5,2,13,0.000829
5,2,14,0.000881
5,2,15,0.000939
5,3,1,0.000245
5,3,2,0.000245
5,3,3,0.000247
5,3,4,0.000345
5,3,5,0.000344
5,3,6,0.00035
5,3,7,0.000483
5,3,8,0.000459
5,3,9,0.000461
5,3,10,0.00055
5,3,11,0.000545
5,3,12,0.000546
5,3,13,0.00066
5,3,14,0.000663
5,3,15,0.000666
5,4,1,0.000244
5,4,2,0.000246
5,4,3,0.000245
5,4,4,0.000247
5,4,5,0.000345
5,4,6,0.000346
5,4,7,0.000354
5,4,8,0.000368
5,4,9,0.000459
5,4,10,0.000454
5,4,11,0.000459
5,4,12,0.00046
5,4,13,0.000556
5,4,14,0.000557
5,4,15,0.000565
5,5,1,0.000249
5,5,2,0.000251
5,5,3,0.00025
5,5,4,0.000253
5,5,5,0.000254
5,5,6,0.000355
5,5,7,0.000356
5,5,8,0.000357
5,5,9,0.000359
5,5,10,0.000365
5,5,11,0.000468
5,5,12,0.000464
5,5,13,0.000464
5,5,14,0.000465
5,5,15,0.000465
5,6,1,0.000251
5,6,2,0.000252
5,6,3,0.00025
5,6,4,0.000271
5,6,5,0.000256
5,6,6,0.000259
5,6,7,0.000358
5,6,8,0.000359
5,6,9,0.00036
5,6,10,0.000365
5,6,11,0.000355
5,6,12,0.000357
5,6,13,0.000474
5,6,14,0.000471
5,6,15,0.000471
5,7,1,0.000248
5,7,2,0.000251
5,7,3,0.000247
5,7,4,0.000247
5,7,5,0.000249
5,7,6,0.000249
5,7,7,0.000252
5,7,8,0.000351
5,7,9,0.000351
5,7,10,0.000351
5,7,11,0.000366
5,7,12,0.000362
5,7,13,0.000364
5,7,14,0.000369
5,7,15,0.000471
5,8,1,0.00025
5,8,2,0.000244
5,8,3,0.000246
5,8,4,0.000248
5,8,5,0.000249
5,8,6,0.000256
5,8,7,0.000261
5,8,8,0.000259
5,8,9,0.000361
5,8,10,0.000357
5,8,11,0.000355
5,8,12,0.000366
5,8,13,0.000366
5,8,14,0.000368
5,8,15,0.00036
5,9,1,0.00025
5,9,2,0.000254
5,9,3,0.000251
5,9,4,0.000254
5,9,5,0.000255
5,9,6,0.00025
5,9,7,0.000252
5,9,8,0.000253
5,9,9,0.000258
5,9,10,0.000357
5,9,11,0.000361
5,9,12,0.000368
5,9,13,0.00036
5,9,14,0.000379
5,9,15,0.00037
5,10,1,0.000248
5,10,2,0.000248
5,10,3,0.000246
5,10,4,0.00025
5,10,5,0.000248
5,10,6,0.000249
5,10,7,0.000251
5,10,8,0.000258
5,10,9,0.00026
5,10,10,0.000263
5,10,11,0.000373
5,10,12,0.000362
5,10,13,0.000369
5,10,14,0.000365
5,10,15,0.000371
5,11,1,0.000242
5,11,2,0.000247
5,11,3,0.000251
5,11,4,0.000247
5,11,5,0.000248
5,11,6,0.000251
5,11,7,0.000256
5,11,8,0.000262
5,11,9,0.00026
5,11,10,0.000267
5,11,11,0.000264
5,11,12,0.000365
5,11,13,0.00036
5,11,14,0.000363
5,11,15,0.000367
5,12,1,0.000242
5,12,2,0.00025
5,12,3,0.000251
5,12,4,0.000255
5,12,5,0.000254
5,12,6,0.000255
5,12,7,0.000261
5,12,8,0.000259
5,12,9,0.00026
5,12,10,0.000263
5,12,11,0.000263
5,12,12,0.000265
5,12,13,0.000365
5,12,14,0.000363
5,12,15,0.000366
5,13,1,0.000267
5,13,2,0.000251
5,13,3,0.000253
5,13,4,0.000252
5,13,5,0.000249
5,13,6,0.00025
5,13,7,0.000251
5,13,8,0.000252
5,13,9,0.000255
5,13,10,0.000256
5,13,11,0.000257
5,13,12,0.00026
5,13,13,0.000265
5,13,14,0.000383
5,13,15,0.000376
5,14,1,0.000252
5,14,2,0.000248
5,14,3,0.000245
5,14,4,0.000248
5,14,5,0.000252
5,14,6,0.000249
5,14,7,0.000252
5,14,8,0.00026
5,14,9,0.000261
5,14,10,0.000261
5,14,11,0.00027
5,14,12,0.000267
5,14,13,0.000275
5,14,14,0.000269
5,14,15,0.000367
5,15,1,0.000246
5,15,2,0.000245
5,15,3,0.000246
5,15,4,0.000251
5,15,5,0.000258
5,15,6,0.000256
5,15,7,0.000257
5,15,8,0.000262
5,15,9,0.000261
5,15,10,0.000269
5,15,11,0.000264
5,15,12,0.000261
5,15,13,0.000261
5,15,14,0.000264
5,15,15,0.000272
6,1,1,0.00028
6,1,2,0.000385
6,1,3,0.000507
6,1,4,0.000639
6,1,5,0.000737
6,1,6,0.000837
6,1,7,0.000934
6,1,8,0.001067
6,1,9,0.001192
6,1,10,0.001265
6,1,11,0.001399
6,1,12,0.001495
6,1,13,0.001576
6,1,14,0.001737
6,1,15,0.001867
6,2,1,0.000287
6,2,2,0.000284
6,2,3,0.000394
6,2,4,0.000396
6,2,5,0.000508
6,2,6,0.000499
6,2,7,0.000607
6,2,8,0.000605
6,2,9,0.000717
6,2,10,0.000714
6,2,11,0.000827
6,2,12,0.000841
6,2,13,0.000943
6,2,14,0.000936
6,2,15,0.001044
6,3,1,0.000276
6,3,2,0.000276
6,3,3,0.000278
6,3,4,0.000387
6,3,5,0.000388
6,3,6,0.000403
6,3,7,0.000512
6,3,8,0.000517
6,3,9,0.000515
6,3,10,0.000621
6,3,11,0.00061
6,3,12,0.000625
6,3,13,0.000735
6,3,14,0.000744
6,3,15,0.000728
6,4,1,0.000276
6,4,2,0.000275
6,4,3,0.000277
6,4,4,0.000282
6,4,5,0.000389
6,4,6,0.00039
6,4,7,0.000391
6,4,8,0.000401
6,4,9,0.000504
6,4,10,0.000503
6,4,11,0.00052
6,4,12,0.000507
6,4,13,0.000619
6,4,14,0.000616
6,4,15,0.000619
6,5,1,0.000281
6,5,2,0.000282
6,5,3,0.000281
6,5,4,0.000279
6,5,5,0.000279
6,5,6,0.00039
6,5,7,0.000395
6,5,8,0.000392
6,5,9,0.000403
6,5,10,0.000396
6,5,11,0.000507
6,5,12,0.00051
6,5,13,0.000509
6,5,14,0.000521
6,5,15,0.000517
6,6,1,0.000275
6,6,2,0.000276
6,6,3,0.000277
6,6,4,0.000279
6,6,5,0.000281
6,6,6,0.000285
6,6,7,0.000392
6,6,8,0.000399
6,6,9,0.000396
6,6,10,0.000407
6,6,11,0.000406
6,6,12,0.000404
6,6,13,0.000519
6,6,14,0.000516
6,6,15,0.000513
6,7,1,0.000274
6,7,2,0.000277
6,7,3,0.000279
6,7,4,0.00028
6,7,5,0.00028
6,7,6,0.000282
6,7,7,0.000284
6,7,8,0.000393
6,7,9,0.000399
6,7,10,0.000397
6,7,11,0.000404
6,7,12,0.000404
6,7,13,0.000408
6,7,14,0.000411
6,7,15,0.000521
6,8,1,0.000281
6,8,2,0.000282
6,8,3,0.000283
6,8,4,0.000286
6,8,5,0.000287
6,8,6,0.00029
6,8,7,0.000291
6,8,8,0.000292
6,8,9,0.000404
6,8,10,0.000405
6,8,11,0.000397
6,8,12,0.000399
6,8,13,0.000406
6,8,14,0.000411
6,8,15,0.000412
6,9,1,0.000276
6,9,2,0.000279
6,9,3,0.000284
6,9,4,0.000285
6,9,5,0.000288
6,9,6,0.000287
6,9,7,0.00029
6,9,8,0.000291
6,9,9,0.000292
6,9,10,0.000407
6,9,11,0.000408
6,9,12,0.000409
6,9,13,0.000411
6,9,14,0.000412
6,9,15,0.000413
6,10,1,0.00028
6,10,2,0.000282
6,10,3,0.000286
6,10,4,0.000286
6,10,5,0.000287
6,10,6,0.000288
6,10,7,0.000289
