Clocks,Locations,Transitions,Time(s)
2,9,15,0.000112
2,10,1,7.5e-05
2,10,2,7.6e-05
2,10,3,7.7e-05
2,10,4,7.7e-05
2,10,5,7.9e-05
2,10,6,7.9e-05
2,10,7,8e-05
2,10,8,8e-05
2,10,9,8.1e-05
2,10,10,8.3e-05
2,10,11,0.00011
2,10,12,0.00011
2,10,13,0.000112
2,10,14,0.000111
2,10,15,0.000112
2,11,1,7.5e-05
2,11,2,7.5e-05
2,11,3,7.7e-05
2,11,4,7.7e-05
2,11,5,7.8e-05
2,11,6,8e-05
2,11,7,8e-05
2,11,8,8e-05
2,11,9,8.1e-05
2,11,10,8.2e-05
2,11,11,8.3e-05
2,11,12,0.00011
2,11,13,0.000111
2,11,14,0.000112
2,11,15,0.000112
2,12,1,7.5e-05
2,12,2,7.6e-05
2,12,3,7.7e-05
2,12,4,7.7e-05
2,12,5,7.9e-05
2,12,6,7.9e-05
2,12,7,8.1e-05
2,12,8,8.1e-05
2,12,9,8.1e-05
2,12,10,8.2e-05
2,12,11,8.3e-05
2,12,12,8.4e-05
2,12,13,0.000112
2,12,14,0.000112
2,12,15,0.000112
2,13,1,7.5e-05
2,13,2,7.6e-05
2,13,3,7.7e-05
2,13,4,7.7e-05
2,13,5,7.9e-05
2,13,6,0.000111
2,13,7,8.1e-05
2,13,8,8.1e-05
2,13,9,8.2e-05
2,13,10,8.2e-05
2,13,11,8.1e-05
2,13,12,8.3e-05
2,13,13,8.5e-05
2,13,14,0.000112
2,13,15,0.000113
2,14,1,7.5e-05
2,14,2,7.7e-05
2,14,3,7.7e-05
2,14,4,7.7e-05
2,14,5,7.9e-05
2,14,6,7.9e-05
2,14,7,8.1e-05
2,14,8,8.1e-05
2,14,9,8.2e-05
2,14,10,9.3e-05
2,14,11,0.000115
2,14,12,0.000113
2,14,13,0.000114
2,14,14,0.000118
2,14,15,0.000113
2,15,1,7.5e-05
2,15,2,7.6e-05
2,15,3,7.7e-05
2,15,4,7.7e-05
2,15,5,7.8e-05
2,15,6,7.9e-05
2,15,7,8e-05
2,15,8,7.8e-05
2,15,9,7.9e-05
2,15,10,8.1e-05
2,15,11,8.2e-05
2,15,12,8.3e-05
2,15,13,8.2e-05
2,15,14,8.3e-05
2,15,15,8.4e-05
3,1,1,8.8e-05
3,1,2,0.000123
3,1,3,0.000158
3,1,4,0.000192
3,1,5,0.000224
3,1,6,0.000266
3,1,7,0.000288
3,1,8,0.000324
3,1,9,0.000362
3,1,10,0.000401
3,1,11,0.000414
3,1,12,0.000443
3,1,13,0.000497
3,1,14,0.000508
3,1,15,0.000538
3,2,1,9.4e-05
3,2,2,9.2e-05
3,2,3,0.000123
3,2,4,0.000125
3,2,5,0.000158
3,2,6,0.000159
3,2,7,0.000192
3,2,8,0.000193
3,2,9,0.000227
3,2,10,0.000226
3,2,11,0.000264
3,2,12,0.000264
3,2,13,0.000293
3,2,14,0.000292
3,2,15,0.000325
3,3,1,9.2e-05
3,3,2,9.1e-05
3,3,3,9.2e-05
3,3,4,0.000124
3,3,5,0.000125
3,3,6,0.000126
3,3,7,0.000161
3,3,8,0.000161
3,3,9,0.000163
3,3,10,0.000196
3,3,11,0.000193
3,3,12,0.00019
3,3,13,0.000224
3,3,14,0.000228
3,3,15,0.000232
3,4,1,9.1e-05
3,4,2,9.1e-05
3,4,3,9.1e-05
3,4,4,0.000107
3,4,5,0.000128
3,4,6,0.000127
3,4,7,0.000128
3,4,8,0.000128
3,4,9,0.000164
3,4,10,0.000164
3,4,11,0.000164
3,4,12,0.000164
3,4,13,0.000216
3,4,14,0.000202
